Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,38,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,28,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,indigo,Size,40,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty6/product/media/images/20200619/12/3115150/74677234/0/0_org_zoom.jpg,29,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty221/product/media/images/20211102/8/163734581/70460595/2/2_org_zoom.jpg,30,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty220/product/media/images/20211102/8/163734581/70460595/3/3_org_zoom.jpg,31,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty221/product/media/images/20211102/8/163734581/70460595/4/4_org_zoom.jpg,32,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com/ty221/product/media/images/20211102/8/163734581/70460595/5/5_org_zoom.jpg,33,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,Çizgili Dokuma Takım Elbise,Jacket: Trousers: Takım Elbise Desen: Çizgili Model: Soft Line: Klasik Cep: Kapaklı Cep Kalıp: Modern Fit Yırtmaç Tipi: Tek Yırtmaç İç Astar: Yarım Astarlı Yaka: Kelebek Yaka Karışım: %64 Polyester  %35 Viskon  %1 Elastan,REXGOLL,,Takım Elbise,Takım Elbise,TRUE,Size,46,,,,,,200,shopify,8722,deny,manual,122.22,122.22,TRUE,TRUE,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Çizgili-Dokuma-Takım-Elbise,,,,,,,,Size,46,,,,,,,,,,,,,,,,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,Size,48,,,,,,,,,,,,,,,,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,Size,50,,,,,,,,,,,,,,,,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
Çizgili-Dokuma-Takım-Elbise,,,,,,,,Size,52,,,,,,,,,,,,,,,,https://www.trendyol.com/ty158/product/media/images/20210814/9/118439283/226847141/1/1_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
